BU Name,Facility Name,Type,Is Open,Opening Date,Closed/End of Emissions Date,Capacity (m2),FTE,Month,Year
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,8,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,9,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,10,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,11,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,12,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,1,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,2,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,3,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,4,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,5,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,6,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,7,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,8,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,9,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,10,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,11,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,12,"2,022"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,1,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,2,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,3,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,4,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,5,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,6,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,7,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,8,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,9,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,10,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,11,"2,023"
,Amsterdam Tolstraat Office,Office,true,01/01/2022,31/12/2023,680,0,12,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,1,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,2,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,3,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,4,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,5,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,6,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,7,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,8,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,9,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,10,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,11,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,12,"2,022"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,1,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,2,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,3,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,4,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,5,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,6,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,7,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,8,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,9,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,10,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,11,"2,023"
,Bali Canggu Square Office,Office,true,01/01/2022,31/12/2023,"1,400",0,12,"2,023"
,Berlin Karl-Liebknecht-Straße Office,Office,,01/05/2023,31/12/2023,840,,5,"2,023"
,Berlin Karl-Liebknecht-Straße Office,Office,,01/05/2023,31/12/2023,840,,6,"2,023"
,Berlin Karl-Liebknecht-Straße Office,Office,,01/05/2023,31/12/2023,840,,7,"2,023"
,Berlin Karl-Liebknecht-Straße Office,Office,,01/05/2023,31/12/2023,840,,8,"2,023"
,Berlin Karl-Liebknecht-Straße Office,Office,,01/05/2023,31/12/2023,840,,9,"2,023"
,Berlin Karl-Liebknecht-Straße Office,Office,,01/05/2023,31/12/2023,840,,10,"2,023"
,Berlin Karl-Liebknecht-Straße Office,Office,,01/05/2023,31/12/2023,840,,11,"2,023"
,Berlin Karl-Liebknecht-Straße Office,Office,,01/05/2023,31/12/2023,840,,12,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,1,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,2,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,3,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,4,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,5,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,6,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,7,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,8,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,9,"2,022"
